4.7810 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.0161 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
18.6594 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B5E675AD00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B5E6AF4FD0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.6596 	EXP 	window1: mouseVisible = True
18.6598 	EXP 	window1: mouseVisible = False
18.6598 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.6599 	EXP 	window1: recordFrameIntervals = False
18.8251 	EXP 	window1: recordFrameIntervals = True
19.0087 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
19.0087 	EXP 	window1: recordFrameIntervals = False
21.3206 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
21.3342 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
21.3395 	EXP 	Imported C:/Users/rajvi/OneDrive/Desktop/laptop backup/Rajvi/Ahmedabad University/TY/PSY310/data/conditions_Tutorial 1.xlsx as conditions, 1 conditions, 5 params
21.6739 	EXP 	window1: recordFrameIntervals = False
21.6771 	EXP 	window1: recordFrameIntervals = False
22.6766 	EXP 	fixation: autoDraw = True
23.3688 	EXP 	grating: autoDraw = True
